,name,dataTypeName,description
0,OSEBuildingID,number,A unique identifier assigned to each property covered by the Seattle Benchmarking Ordinance for tracking and identification purposes.
1,DataYear,text,
2,BuildingType,text,City of Seattle building type classification.
3,PrimaryPropertyType,text,"The primary use of a property (e.g. office, retail store). Primary use is defined as a function that accounts for more than 50% of a property. This is the Property Type - EPA Calculated field from Portfolio Manager."
4,PropertyName,text,Official or common property name.
5,TaxParcelIdentificationNumber,text,"	
Property King County PIN"
6,Location,location,
7,CouncilDistrictCode,number,Property City of Seattle council district.
8,Neighborhood,text,
9,YearBuilt,number,Year in which a property was constructed or underwent a complete renovation.
10,NumberofBuildings,number,
11,NumberofFloors,number,
12,PropertyGFATotal,number,Total building and parking gross floor area.
13,PropertyGFAParking,number,"Total space in square feet of all types of parking (Fully Enclosed, Partially Enclosed, and Open)."
14,PropertyGFABuilding(s),number,"Total floor space in square feet between the outside surfaces of a building’s enclosing walls. This includes all areas inside the building(s), such as tenant space, common areas, stairwells, basements, storage, etc."
15,ListOfAllPropertyUseTypes,text,
16,LargestPropertyUseType,text,
17,LargestPropertyUseTypeGFA,number,
18,SecondLargestPropertyUseType,text,
19,SecondLargestPropertyUseTypeGFA,number,
20,ThirdLargestPropertyUseType,text,
21,ThirdLargestPropertyUseTypeGFA,number,
22,YearsENERGYSTARCertified,text,
23,ENERGYSTARScore,number,"An EPA calculated 1-100 rating that assesses a property’s overall energy performance, based on national data to control for differences among climate, building uses, and operations. A score of 50 represents the national median."
24,SiteEUI(kBtu/sf),number,"Site Energy Use Intensity (EUI) is a property's Site Energy Use divided by its gross floor area. Site Energy Use is the annual amount of all the energy consumed by the property on-site, as reported on utility bills. Site EUI is measured in thousands of British thermal units (kBtu) per square foot."
25,SiteEUIWN(kBtu/sf),number,"	
Weather Normalized (WN) Site Energy Use Intensity (EUI) is a property's WN Site Energy divided by its gross floor area (in square feet). WN Site Energy is the Site Energy Use the property would have consumed during 30-year average weather conditions. WN Site EUI is measured in measured in thousands of British thermal units (kBtu) per square foot."
26,SourceEUI(kBtu/sf),number,"Source Energy Use Intensity (EUI) is a property's Source Energy Use divided by its gross floor area. Source Energy Use is the annual energy used to operate the property, including losses from generation, transmission, & distribution. Source EUI is measured in thousands of British thermal units (kBtu) per square foot."
27,SourceEUIWN(kBtu/sf),number,Weather Normalized (WN) Source Energy Use Intensity (EUI) is a property's WN Source Energy divided by its gross floor area. WN Source Energy is the Source Energy Use the property would have consumed during 30-year average weather conditions. WN Source EUI is measured in measured in thousands of British thermal units (kBtu) per square foot.
28,SiteEnergyUse(kBtu),number,"	
The annual amount of energy consumed by the property from all sources of energy."
29,SiteEnergyUseWN(kBtu),number,
30,SteamUse(kBtu),number,"The annual amount of district steam consumed by the property on-site, measured in thousands of British thermal units (kBtu)."
31,Electricity(kWh),number,"	
The annual amount of electricity consumed by the property on-site, including electricity purchased from the grid and generated by onsite renewable systems, measured in kWh."
32,Electricity(kBtu),number,"	
The annual amount of electricity consumed by the property on-site, including electricity purchased from the grid and generated by onsite renewable systems, measured in thousands of British thermal units (kBtu)."
33,NaturalGas(therms),number,"The annual amount of utility-supplied natural gas consumed by the property, measured in therms."
34,NaturalGas(kBtu),number,
35,OtherFuelUse(kBtu),number,
36,GHGEmissions(MetricTonsCO2e),number,"The total amount of greenhouse gas emissions, including carbon dioxide, methane, and nitrous oxide gases released into the atmosphere as a result of energy consumption at the property, measured in metric tons of carbon dioxide equivalent. This calculation uses a GHG emissions factor from Seattle CIty Light's portfolio of generating resources. This uses Seattle City Light's 2015 emissions factor of 52.44 lbs CO2e/MWh. Enwave steam factor = 170.17 lbs CO2e/MMBtu. Gas factor sourced from EPA Portfolio Manager = 53.11 kg CO2e/MBtu. "
37,GHGEmissionsIntensity(kgCO2e/ft2),number,"	
Total Greenhouse Gas Emissions divided by property's gross floor area, measured in kilograms of carbon dioxide equivalent per square foot. This calculation uses a GHG emissions factor from Seattle City Light's portfolio of generating resources"
38,DefaultData,text,
39,Comment,text,
40,ComplianceStatus,text,
41,Outlier,text,
42,2010 Census Tracts,number,
43,Seattle Police Department Micro Community Policing Plan Areas,number,
44,City Council Districts,number,
45,SPD Beats,number,
46,Zip Codes,number,
